Model,Accuracy,Weighted Precision,Weighted Recall,Weighted F1,Macro Precision,Macro Recall,Macro F1
Linear SVC,0.9952718676122931,0.9953013411172497,0.9952718676122931,0.9952556185904553,0.9958442358011389,0.9933993399339934,0.9945822241582368
Logistic Regression,0.9858156028368794,0.9862791824302701,0.9858156028368794,0.9858529579876262,0.9822543249509542,0.9852054170934336,0.9835043417833979
Naive Bayes,0.9716312056737588,0.973987255244726,0.9716312056737588,0.9717909726725591,0.965094307790937,0.9714123136451577,0.9670509339030509
